Hour,Weekday,Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
07:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10
07:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60
08:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70
08:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20
09:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10
09:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90
10:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30
10:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20
11:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60
11:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40
12:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20
12:30,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70
13:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80
13:30,Monday,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.90
14:00,Monday,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10
14:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30
15:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90
15:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10
16:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70
16:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10
17:00,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
17:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40
18:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90
18:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.20
19:00,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.80
19:30,Monday,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.40
20:00,Monday,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.40
07:00,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.90
07:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30
08:00,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00
08:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
09:00,Tuesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.30
09:30,Tuesday,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
10:00,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.90
10:30,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70
11:00,Tuesday,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8.30
11:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50
12:00,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50
12:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40
13:00,Tuesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.70
13:30,Tuesday,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.80
14:00,Tuesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.10
14:30,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30
15:00,Tuesday,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.30
15:30,Tuesday,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.40
16:00,Tuesday,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.30
16:30,Tuesday,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.00
17:00,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.10
